name,sn_type,redshift,mult_sn_flag,galaxy_name,position_flag,morph_type,t_type,inclination,position_angle,redshift_flag,galaxy_app_mag_flag,galaxy_app_mag,log_diameter,class
SN 2009fr,II P,,,NGC 597,,SBbc,4.1,24,,,,14.02,1.15,SUPERNOVA TYPE II
SN 1979F,,,,A023948-3326,G,,,,,,,,,SUPERNOVA
SN 2004cy,,,,E403-G09,,Sa pec,1,73,99,,,15.3,1.15,SUPERNOVA
SN 2010lv,Ia,,,A131942-3315,,,,,,,,,,SUPERNOVA TYPE I
SN 2009gj,IIb,,,NGC 134,,Sbc,4,76,50,,,11.23,1.93,SUPERNOVA TYPE II
SN 1993O,Ia,,,A133107-3312,,E5/S01,,,,,,,,SUPERNOVA TYPE I
SN 1998E,IIn,,Y,NGC5161,,Sc:,5,67,77,,,12.06,1.76,SUPERNOVA TYPE II
SN 1974B,,,Y,NGC5161,G,Sc:,5,67,77,,,12.06,1.76,SUPERNOVA
SN 2008br,II,,Y,IC2522,,SBc pec,5.3,44,0,,,13.06,1.44,SUPERNOVA TYPE II
SN 2008co,,,Y,IC2522,,SBc pec,5.3,44,0,,,13.06,1.44,SUPERNOVA
SN 2009mu,IIb,,,E374-G03,,Scd:,5.5,70,154,,,14.09,1.34,SUPERNOVA TYPE II
SN 1990Y,Ia*,,Y,A033723-3302,,E,,,,,,,,SUPERNOVA TYPE I
SN 2010jd,Ia,,Y,A033723-3302,,E,,,,,,,,SUPERNOVA TYPE I
SN 1998dd,,,,A134733-3302,,S,,,,,,,,SUPERNOVA
SN 2012bu,II P,,,NGC3449,,Sab:,2,73,148,,,12.98,1.52,SUPERNOVA TYPE II
SN 1981A,II,,,NGC1532,G,SBb,3.1,82,33,,,10.63,2.07,SUPERNOVA TYPE II
SN 2008ii,Ia,,,E381-G50,,SBbc pec,4.5,21,15,,,14.33,1.09,SUPERNOVA TYPE I
SN 1996bp,,,,M-06-04-53,,S0:,-3,0,59,,,15.33,1.19,SUPERNOVA
SN 2011ah,Ia,,,E364-G12,,Sbc,3.8,41,119,,,14.06,1.16,SUPERNOVA TYPE I
SN 2010jr,?,,,E362-G18,,SB0/a pec,-0.3,50,160,,,13.87,1.08,SUPERNOVA
SN 2012hd,Ia,,,IC1657,,SBbc:,3.7,76,170,,,13.2,1.37,SUPERNOVA TYPE I
SN 1971F,,,,E446-G33,G,Sb,3,67,48,,,15.85,0.95,SUPERNOVA
SN 2006dr,Ia,,,NGC1288,,Sc,4.6,34,178,,,12.78,1.36,SUPERNOVA TYPE I
SN 2008bk,II P,,,NGC7793,,Sd,7,47,98,,,9.63,1.97,SUPERNOVA TYPE II
